SEQUENCE_NUM,DEVICE_ID,ALERT_TYPE_ID,POLICY_ID,SIGNATURE_ID,BEGIN_TIME,END_TIME,HIT_COUNT,SRC_IP_ADDR,SRC_IP_ADDR_HIGH,SRC_PORT,DST_IP_ADDR,DST_IP_ADDR_HIGH,DST_PORT,VIRTUAL_SEGMENT_INDEX,PHYSICAL_PORT_IN,VLAN_TAG,SEVERITY_ID,PACKET_TRACE,DEVICE_TRACE_BUCKET,DEVICE_TRACE_BEGIN_SEQ,DEVICE_TRACE_END_SEQ,MESSAGE_PARMS,QUARANTINE_ACTION,FLOW_CONTROL,ACTION_SET_UUID,ACTION_SET_NAME,RATE_LIMIT_RATE,CLIENT_IP_ADDR,CLIENT_IP_ADDR_HIGH,XFF_IP_ADDR,XFF_IP_ADDR_HIGH,TCIP_IP_ADDR,TCIP_IP_ADDR_HIGH,URI_METHOD,URI_HOST,URI_STRING,SRC_USER_NAME,SRC_DOMAIN,SRC_MACHINE,DST_USER_NAME,DST_DOMAIN,DST_MACHINE
267853845,e4993c7f-ce1d-11e6-b837-b05ada4eed7a,1,748a89f3-5c9b-4998-af78-e6b52b22a578,00000001-0001-0001-0001-000000017056,1582150002001,1582150002001,1,176761226,0,58024,879870596,0,443,62,15,0,3,0,0,0,0, , ,Permit,7d13fcaa-88bd-11d6-859b-0002b34b9580,Permit + Notify,0,176761226,0,0,0,0,0,,,,,,,,,
267853846,e4993c7f-ce1d-11e6-b837-b05ada4eed7a,1,5e19d3be-e8d1-4e10-a7af-c983712a2fe1,00000001-0001-0001-0001-000000006900,1582149924040,1582150002040,2,175798792,0,32371,3236274969,0,443,62,14,0,1,0,0,0,0, , ,Permit,7d13fcaa-88bd-11d6-859b-0002b34b9580,Permit + Notify,0,175798792,0,0,0,0,0,,,,,,,,,
267853847,e4993c7f-ce1d-11e6-b837-b05ada4eed7a,1,8300ee53-e0f3-4589-a21b-aed2cba5292f,00000001-0001-0001-0001-000000017056,1582149838040,1582150002040,1,176789017,0,54479,175798792,0,8080,86,39,10,3,0,0,0,0, , ,Permit,7d13fcaa-88bd-11d6-859b-0002b34b9580,Permit + Notify,0,176789017,0,0,0,0,0,,,,,,,,,
267853848,e4993c7f-ce1d-11e6-b837-b05ada4eed7a,1,7c9608db-48f0-4cf3-8128-cda387b9564b,00000001-0001-0001-0001-000000006900,1582150002040,1582150002040,1,177370274,0,50581,175798792,0,8080,67,21,223,1,0,0,0,0, , ,Permit,7d13fcaa-88bd-11d6-859b-0002b34b9580,Permit + Notify,0,177370274,0,0,0,0,0,,,,,,,,,
267853849,e4993c7f-ce1d-11e6-b837-b05ada4eed7a,1,748a89f3-5c9b-4998-af78-e6b52b22a578,00000001-0001-0001-0001-000000017056,1582149920040,1582150002040,4,177387528,0,49908,65290459,0,443,62,15,0,3,0,0,0,0, , ,Permit,7d13fcaa-88bd-11d6-859b-0002b34b9580,Permit + Notify,0,177387528,0,0,0,0,0,,,,,,,,,
73544604,3da1ecaa-2380-11e7-add1-ec8147b19acd,1,b94922ea-c615-4377-a0b7-d1aeb9f3613b,00000001-0001-0001-0001-000000017056,1582150002,1582150002081,1,175767561,0,32117,2899903912,0,443,44,4,0,3,0,0,0,0, , ,Permit,7d13fcaa-88bd-11d6-859b-0002b34b9580,,0,175767561,0,0,0,0,0,,,,,,,,,
223301744,0036a850-10df-11e7-b47f-f8dc43e860d0,1,0743aeee-8078-44e4-9b01-011ce13e6a54,00000001-0001-0001-0001-000000017056,1582150002,1582150002556,1,175863595,0,41413,520969491,0,443,4,4,0,3,0,0,0,0, , ,Permit,7d13fcaa-88bd-11d6-859b-0002b34b9580,,0,175863595,0,0,0,0,0,,,,,,,,,
223301745,0036a850-10df-11e7-b47f-f8dc43e860d0,1,0743aeee-8078-44e4-9b01-011ce13e6a54,00000001-0001-0001-0001-000000017056,1582149613,1582150002556,1,175864331,0,18611,2899903905,0,443,4,4,0,3,0,0,0,0, , ,Permit,7d13fcaa-88bd-11d6-859b-0002b34b9580,,0,175864331,0,0,0,0,0,,,,,,,,,
73544605,3da1ecaa-2380-11e7-add1-ec8147b19acd,1,b94922ea-c615-4377-a0b7-d1aeb9f3613b,00000001-0001-0001-0001-000000017056,1582149942,1582150002681,1,175767561,0,23131,2726105987,0,443,44,4,0,3,0,0,0,0, , ,Permit,7d13fcaa-88bd-11d6-859b-0002b34b9580,,0,175767561,0,0,0,0,0,,,,,,,,,
73544606,3da1ecaa-2380-11e7-add1-ec8147b19acd,1,b94922ea-c615-4377-a0b7-d1aeb9f3613b,00000001-0001-0001-0001-000000017056,1582150002,1582150002781,1,175767561,0,25969,2899906114,0,443,44,4,0,3,0,0,0,0, , ,Permit,7d13fcaa-88bd-11d6-859b-0002b34b9580,,0,175767561,0,0,0,0,0,,,,,,,,,
267853850,e4993c7f-ce1d-11e6-b837-b05ada4eed7a,1,8300ee53-e0f3-4589-a21b-aed2cba5292f,00000001-0001-0001-0001-000000017056,1582149837016,1582150003016,1,177355278,0,64999,175798792,0,8080,86,39,10,3,0,0,0,0, , ,Permit,7d13fcaa-88bd-11d6-859b-0002b34b9580,Permit + Notify,0,177355278,0,0,0,0,0,,,,,,,,,
